listing_id,listed,available,unit,house,street,suburb,city,price,bedrooms,bathrooms,href,photo
1378466686,2017/07/24,2017/07/24,40,5,EVA STREET,Wellington Central,Wellington,390,1,3,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378466686.htm,https://trademe.tmcdn.co.nz/photoserver/med/620906076.jpg
1376503206,2017/07/21,2017/07/29,,38C,WEBB ST,Te Aro,Wellington,790,4,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376503206.htm,https://trademe.tmcdn.co.nz/photoserver/med/619733409.jpg
1378523653,2017/07/24,2017/08/17,302,170,TARANAKI STREET,Te Aro,Wellington,420,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378523653.htm,https://trademe.tmcdn.co.nz/photoserver/med/620935979.jpg
1378910494,2017/07/24,2017/08/12,,221A,KARORI ROAD,Karori,Wellington,975,4,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378910494.htm,https://trademe.tmcdn.co.nz/photoserver/med/621105563.jpg
1379176500,2017/07/25,2017/07/29,,30,MIDDLETON ROAD,Johnsonville,Wellington,435,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379176500.htm,https://trademe.tmcdn.co.nz/photoserver/med/621210481.jpg
1378879910,2017/07/24,2017/08/01,,76,MEIN ST,Newtown,Wellington,700,3,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378879910.htm,https://trademe.tmcdn.co.nz/photoserver/med/621447629.jpg
1375588793,2017/07/20,2017/08/19,,62,TOTARA ROAD,Miramar,Wellington,545,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1375588793.htm,https://trademe.tmcdn.co.nz/photoserver/med/619366090.jpg
1376286263,2017/07/21,2017/07/28,,108,BRITOMART STREET,Berhampore,Wellington,895,4,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376286263.htm,https://trademe.tmcdn.co.nz/photoserver/med/619754774.jpg
1381528379,2017/07/28,2017/07/29,,95B,ELLICE STREET,Mount Victoria,Wellington,700,3,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381528379.htm,https://trademe.tmcdn.co.nz/photoserver/med/622417782.jpg
1379950128,2017/07/26,2017/07/29,1,6,SHANNON STREET,Mount Victoria,Wellington,380,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379950128.htm,https://trademe.tmcdn.co.nz/photoserver/med/621557664.jpg
1376916956,2017/07/22,2017/07/27,,33,THOMPSON ST,Mount Cook,Wellington,250,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376916956.htm,https://trademe.tmcdn.co.nz/photoserver/med/619997576.jpg
1375478528,2017/07/20,2017/08/11,,233,CUBA ST,Te Aro,Wellington,600,2,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1375478528.htm,https://trademe.tmcdn.co.nz/photoserver/med/619312350.jpg
1376542570,2017/07/21,2017/07/26,,3D,CORLETT STREET,Johnsonville,Wellington,160,1,3,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376542570.htm,https://trademe.tmcdn.co.nz/photoserver/med/619754386.jpg
